Belgium vs Neighbors
======================================================================

country_name  year  solar_twh  wind_twh  total_renewable_twh  renewable_pct  solar_per_capita  wind_per_capita  renewable_per_capita  capacity_rank
 Netherlands  2024      21.82     33.48                55.30          18.12             1.247            1.913                 3.160              1
     Germany  2024      74.13    141.60               215.73          23.97             0.891            1.702                 2.593              2
     Belgium  2024       8.56     14.06                22.62          11.45             0.738            1.212                 1.950              3
      France  2024      24.87     45.43                70.30          16.46             0.367            0.670                 1.037              4
 Netherlands  2023      19.61     29.52                49.13          16.63             1.121            1.687                 2.807              1
     Germany  2023      63.87    140.54               204.41          23.60             0.768            1.689                 2.457              2
     Belgium  2023       7.83     15.44                23.27          12.15             0.675            1.331                 2.006              3
      France  2023      22.59     50.48                73.07          15.87             0.333            0.745                 1.078              4
     Germany  2022      60.30    124.81               185.11          20.33             0.725            1.500                 2.225              1
 Netherlands  2022      16.66     21.57                38.23          14.42             0.952            1.233                 2.185              2
     Belgium  2022       6.88     12.35                19.23          10.44             0.593            1.065                 1.658              3
      France  2022      19.34     38.20                57.54          13.73             0.285            0.563                 0.849              4
     Germany  2021      49.34    114.16               163.50          18.08             0.593            1.372                 1.965              1
 Netherlands  2021      11.30     18.13                29.43          11.48             0.646            1.036                 1.682              2
     Belgium  2021       5.62     12.00                17.62           9.20             0.484            1.034                 1.519              3
      France  2021      15.28     37.12                52.40          12.91             0.225            0.547                 0.773              4
     Germany  2020      49.50    132.11               181.61          20.02             0.595            1.588                 2.183              1
     Belgium  2020       5.11     12.81                17.92          10.46             0.441            1.104                 1.545              2
 Netherlands  2020       8.57     15.27                23.84           9.73             0.490            0.873                 1.362              3
      France  2020      13.09     40.05                53.14          13.97             0.193            0.591                 0.784              4
